tier,test_id,doc_id,doc_file,doc_present,evidence_present,binding_status,computed_verdict,computed_latency_ms,rule_type,rule_ms,owner,run_date,evidence_log_path,evidence_capture_path,computed_fail_reasons,note
IT,IT_ADAS_OBJ_001,IT_ADAS_OBJ_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_ARB_001,IT_ARB_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_ARB_030_031_A,IT_ARB_030_031_A,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_001,IT_BASE_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_ALERT_EXT_001,IT_BASE_ALERT_EXT_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_BODY_001,IT_BASE_BODY_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_CH_001,IT_BASE_CH_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_DIAG_001,IT_BASE_DIAG_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_EXT_BODY_001,IT_BASE_EXT_BODY_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_EXT_IVI_001,IT_BASE_EXT_IVI_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_IVI_001,IT_BASE_IVI_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_PT_001,IT_BASE_PT_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BASE_ROBUST_EXT_001,IT_BASE_ROBUST_EXT_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BND_024_A,IT_BND_024_A,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BND_024_B,IT_BND_024_B,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_BND_024_C,IT_BND_024_C,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_CORE_001,IT_CORE_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_EMS_001,IT_EMS_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_HMI_020_A,IT_HMI_020_A,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_OUT_001,IT_OUT_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_SIL_001,IT_SIL_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_TIMEOUT_001,IT_TIMEOUT_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_V2_FAILSAFE_001,IT_V2_FAILSAFE_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
IT,IT_V2_RISK_001,IT_V2_RISK_001,06_Integration_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_ADAS_OBJ_001,ST_ADAS_OBJ_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_ARB_ETA_001,ST_ARB_ETA_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_ARB_ETA_002,ST_ARB_ETA_002,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_001,ST_BASE_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_ALERT_EXT_001,ST_BASE_ALERT_EXT_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_BODY_001,ST_BASE_BODY_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_CH_001,ST_BASE_CH_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_DIAG_001,ST_BASE_DIAG_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_EXT_BODY_001,ST_BASE_EXT_BODY_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_EXT_IVI_001,ST_BASE_EXT_IVI_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_IVI_001,ST_BASE_IVI_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_PT_001,ST_BASE_PT_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_BASE_ROBUST_EXT_001,ST_BASE_ROBUST_EXT_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_EMS_001,ST_EMS_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_EMS_002,ST_EMS_002,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_GUIDE_001,ST_GUIDE_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_GUIDE_002,ST_GUIDE_002,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_HMI_DIR_001,ST_HMI_DIR_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_HMI_DIR_002,ST_HMI_DIR_002,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_POLICY_001,ST_POLICY_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_RESULT_001,ST_RESULT_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_SIL_001,ST_SIL_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_SIL_002,ST_SIL_002,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_SPEED_001,ST_SPEED_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_STEER_001,ST_STEER_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_TIMEOUT_001,ST_TIMEOUT_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_V2_FAILSAFE_001,ST_V2_FAILSAFE_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_V2_RISK_001,ST_V2_RISK_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
ST,ST_ZONE_001,ST_ZONE_001,07_System_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_ADAS_001,UT_ADAS_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_ADAS_OBJ_RISK_001,UT_ADAS_OBJ_RISK_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_ADAS_OBJ_SAFETY_001,UT_ADAS_OBJ_SAFETY_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_ARB_001,UT_ARB_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_001,UT_BASE_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_ALERT_EXT_001,UT_BASE_ALERT_EXT_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_BODY_001,UT_BASE_BODY_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_CH_001,UT_BASE_CH_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_EXT_BODY_001,UT_BASE_EXT_BODY_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_EXT_IVI_001,UT_BASE_EXT_IVI_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_GW_001,UT_BASE_GW_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_IVI_001,UT_BASE_IVI_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_PT_001,UT_BASE_PT_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_ROBUST_EXT_001,UT_BASE_ROBUST_EXT_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BASE_TEST_001,UT_BASE_TEST_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BCM_001,UT_BCM_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BND_006_A,UT_BND_006_A,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BND_006_B,UT_BND_006_B,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BND_006_C,UT_BND_006_C,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BND_024_A,UT_BND_024_A,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BND_024_B,UT_BND_024_B,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_BND_024_C,UT_BND_024_C,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_CLU_001,UT_CLU_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_EMS_AMB_001,UT_EMS_AMB_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_EMS_POL_001,UT_EMS_POL_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_EMS_RX_001,UT_EMS_RX_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_GW_001,UT_GW_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_NAV_001,UT_NAV_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_OUT_GW_001,UT_OUT_GW_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_SIL_001,UT_SIL_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_V2_FAILSAFE_001,UT_V2_FAILSAFE_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_V2_RELEASE_001,UT_V2_RELEASE_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
UT,UT_V2_RISK_001,UT_V2_RISK_001,05_Unit_Test.md,Y,N,DOC_ONLY,,,,,,,,,,
